Team ID,Team Name,Region,Country,Track,City
3774,Aachen,Europe,Germany,,Aachen
3793,Aalto-Helsinki,Europe,Finland,,Espoo
3872,Aboa,Europe,Finland,,Turku
3743,AFCM-Egypt,Africa,Egypt,,Cairo
3981,AHUT_China,Asia,China,,Ma'anshan
4012,AISSU_China,Asia,China,,Shenzhen
3788,Aix-Marseille,Europe,France,,Marseille
3737,Alma,North America,United States,,Alma
3813,ASIJ_Tokyo,Asia,Japan,High School,Chofu
3906,ASTWS-China,Asia,China,,Hangzhou
4006,ASU,North America,United States,,Tempe
4034,Athens,Europe,Greece,,Athens
3879,Austin_UTexas,North America,United States,,Austin
3851,Baltimore_BioCrew,North America,United States,High School,Lusby
3996,Beijing_United,Asia,China,,Shanghai
4033,BHSF,Asia,China,,Beijing
3900,Bielefeld-CeBiTec,Europe,Germany,,Bielefeld
4021,Bilkent_UNAM,Europe,Turkey,,Ankara
3821,BIT,Asia,China,,Beijing
3852,BIT-China,Asia,China,,Beijing
3874,BJ101ID,Asia,China,,Beijing
3759,BJEA_China,Asia,China,High School,Beijing
3887,BJU_China,Asia,China,,Beijing
3745,BNDS_China,Asia,China,High School,Beijing
3805,BNU-China,Asia,China,,Beijing
3784,BNUZ-China,Asia,China,,Zhuhai City
3855,BOKU-Vienna,Europe,Austria,,Vienna
4007,Bolivia,Latin America,Bolivia,,La Paz
3827,British_Columbia,North America,Canada,,Vancouver
3831,Brno_Czech_Republic,Europe,Czech Republic,,Brno
3882,BS_United_China,Asia,China,High School,Shanghai
3881,BSC_United,Asia,China,High School,
3875,BUCT,Asia,China,,Beijing
3742,BUCT-China,Asia,China,,Beijing
3764,Bulgaria,Europe,Bulgaria,,Sofia
3945,Calgary,North America,Canada,,Calgary
3796,CAU_China,Asia,China,,Beijing
3956,CCA_San_Diego,North America,United States,High School,San Diego
3778,CCU_Taiwan,Asia,Taiwan,,Chiayi
3944,Chalmers-Gothenburg,Europe,Sweden,,Gothenburg
3812,CHINA-FAFU,Asia,China,,Fuzhou
4024,CHS_Missouri_US,North America,United States,High School,St. Louis
3905,City_of_London_UK,Europe,United Kingdom,High School,London
3834,CityU_HK,Asia,Hong Kong,,Hong Kong
3825,CKWA-China,Asia,China,High School,Beijing
3768,Concordia-Montreal,North America,Canada,,Montreal
3833,Cornell,North America,United States,,Ithaca
3853,CPU_CHINA,Asia,China,,Nanjing
3935,Crete,Europe,Greece,,Heraklion
4029,CSMU_Taiwan,Asia,Taiwan,,Taichung
3734,CSU_CHINA,Asia,China,,Changsha
3856,CTR_Alberta_Canada,North America,Canada,High School,High River
3877,DKU,Asia,China,,Suzhou
3844,DNHS_SanDiego_CA,North America,United States,High School,San Diego
3841,DTU-Denmark,Europe,Denmark,,Kongens Lyngby
3826,Duesseldorf,Europe,Germany,,Duesseldorf
4046,Duke,North America,United States,,Durham
3898,DUT_China,Asia,China,,Dalian
3995,ECNUAS,Asia,China,,Shanghai
3893,Ecuador,Latin America,Ecuador,,Quito
3970,ECUST_China,Asia,China,,Shanghai
3946,Edinburgh,Europe,United Kingdom,,Edinburgh
3980,ENVIRIST,Europe,Turkey,High School,Istanbul
4035,EPFL,Europe,Switzerland,,Lausanne
4020,Estonia_TUIT,Europe,Estonia,,Tartu
3766,Evry_Paris-Saclay,Europe,France,,Evry-Courcouronnes
3732,FAFU-CHINA,Asia,China,,Fuzhou
3810,FDR-HB_Peru,Latin America,Peru,High School,Lima
3828,FIS-Frankfurt,Europe,Germany,High School,Oberursel
3792,FSU,North America,United States,,Tallahassee
3790,Fudan,Asia,China,,Shanghai
4000,Fujian_United,Asia,China,,Shanghai
3769,FZU-China,Asia,China,,Fuzhou
3842,GA_State_SW_Jiaotong,North America,United States,,Atlanta
3938,GCGS_China,Asia,China,High School,Shenzhen
3880,GDSYZX,Asia,United States,High School,Guangzhou
4031,Gifu,Asia,Japan,,Gifu
3902,GO_Paris-Saclay,Europe,France,,Orsay
3897,GreatBay_SCIE,Asia,China,High School,Shenzhen
3859,GreatBay_SZ,Asia,China,,Shenzhen
3858,GreatBay_United,Asia,China,,Shenzhen
3748,Groningen,Europe,Netherlands,,Groningen
4002,Guangdong_United,Asia,China,,Shanghai
4058,Guelph,North America,Canada,,Guelph
4032,Gunma,Asia,Japan,,Kiryu
3846,Hamburg,Europe,Germany,,Hamburg
3936,HBUT-China,Asia,China,,Wuhan
3963,Heidelberg,Europe,Germany,,Heidelberg
3978,HiZJU-China,Asia,China,,Hangzhou
3816,HK_CPU-WFN-WYY,Asia,Hong Kong,High School,Hong Kong
3787,HK_GTC,Asia,China,High School,Hong Kong
3776,HK_SSC,Asia,Hong Kong,High School,Hong Kong
3923,HKBU,Asia,Hong Kong,,Kowloon Tong
